tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_sds_11,16,0.12,0.1,1231,15712.9411764705,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_12,16,0.12,0.1,942,12101.1764705881,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_13,16,0.12,0.1,999,12889.4117647058,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_14,16,0.12,0.1,486,6228.23529411762,35.2941176470588,0.243987807557101,0.0332710646668774
tree_sds_15,16,0.12,0.1,760,9736.47058823522,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_16,16,0.12,0.1,1317,16858.8235294117,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_17,16,0.12,0.1,1027,13131.7647058823,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_18,16,0.12,0.1,1045,13494.1176470587,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_19,16,0.12,0.1,1021,13138.8235294117,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_20,16,0.12,0.1,989,12884.7058823529,37.6470588235294,0.243987807557101,0.0332710646668774
tree_bd_1,NA,0.114754098360656,0.1,1421,14839.6440008081,36.7751026786739,0.27,0.035
tree_bd_2,NA,0.114754098360656,0.1,500,5374.5939818593,31.8682530727807,0.27,0.035
tree_bd_3,NA,0.114754098360656,0.1,1288,13373.2570329972,34.1844966920257,0.27,0.035
tree_bd_4,NA,0.114754098360656,0.1,955,9700.17548505345,33.9981597623892,0.27,0.035
tree_bd_5,NA,0.114754098360656,0.1,1261,13060.7789712683,35.5068943120842,0.27,0.035
tree_bd_6,NA,0.114754098360656,0.1,503,5205.26070743906,35.8161134818928,0.27,0.035
tree_bd_7,NA,0.114754098360656,0.1,1463,15225.3606563607,38.1552857915578,0.27,0.035
tree_bd_8,NA,0.114754098360656,0.1,1047,10887.5444677149,39.6746949298307,0.27,0.035
tree_bd_9,NA,0.114754098360656,0.1,1219,12450.1318527054,35.3978695322488,0.27,0.035
tree_bd_10,NA,0.114754098360656,0.1,578,5897.09004155106,38.3546178096852,0.27,0.035
tree_bd_11,NA,0.114754098360656,0.1,675,7106.68808413952,36.0613267446967,0.27,0.035
tree_bd_12,NA,0.114754098360656,0.1,494,5345.05067633368,31.8298979161184,0.27,0.035
tree_bd_13,NA,0.114754098360656,0.1,813,8397.26245084897,39.1891587439478,0.27,0.035
tree_bd_14,NA,0.114754098360656,0.1,332,3237.17954136762,39.6690911143474,0.27,0.035
tree_bd_15,NA,0.114754098360656,0.1,1321,13982.3851447851,37.4161137891834,0.27,0.035
tree_bd_16,NA,0.114754098360656,0.1,670,6825.65780173078,32.2159765246735,0.27,0.035
tree_bd_17,NA,0.114754098360656,0.1,1140,12203.3723869409,36.4666528813576,0.27,0.035
tree_bd_18,NA,0.114754098360656,0.1,434,4633.77305567777,36.0405166041205,0.27,0.035
tree_bd_19,NA,0.114754098360656,0.1,747,7639.09911222259,39.8819057780516,0.27,0.035
tree_bd_20,NA,0.114754098360656,0.1,781,8193.48656335933,33.7811021357795,0.27,0.035
