tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_sds_19,16,0.12,0.01,102,2228.23529411764,37.6470588235294,0.243987807557101,0.0332710646668774
tree_sds_20,16,0.12,0.01,99,2138.82352941176,37.6470588235294,0.243987807557101,0.0332710646668774
tree_bd_1,NA,0.114754098360656,0.01,142,2817.68244234072,36.7751026786739,0.27,0.035
tree_bd_2,NA,0.114754098360656,0.01,50,936.222649972088,31.8682530727807,0.27,0.035
tree_bd_3,NA,0.114754098360656,0.01,129,2504.52135310789,34.1844966920257,0.27,0.035
tree_bd_4,NA,0.114754098360656,0.01,96,1814.77195951807,33.9981597623892,0.27,0.035
tree_bd_5,NA,0.114754098360656,0.01,126,2457.39063741264,35.5068943120842,0.27,0.035
tree_bd_6,NA,0.114754098360656,0.01,50,953.101886002191,35.8161134818928,0.27,0.035
tree_bd_7,NA,0.114754098360656,0.01,145,2743.51514144467,38.1552857915578,0.27,0.035
tree_bd_8,NA,0.114754098360656,0.01,105,2076.769372396,39.6746949298307,0.27,0.035
tree_bd_9,NA,0.114754098360656,0.01,122,2312.68670963912,35.3978695322488,0.27,0.035
tree_bd_10,NA,0.114754098360656,0.01,58,1090.75560203016,38.3546178096852,0.27,0.035
tree_bd_11,NA,0.114754098360656,0.01,68,1309.8801865056,36.0613267446967,0.27,0.035
tree_bd_12,NA,0.114754098360656,0.01,49,997.284695160579,31.8298979161184,0.27,0.035
tree_bd_13,NA,0.114754098360656,0.01,81,1584.87094072208,39.1891587439478,0.27,0.035
tree_bd_14,NA,0.114754098360656,0.01,33,635.410300963517,39.6690911143474,0.27,0.035
tree_bd_15,NA,0.114754098360656,0.01,132,2576.58518631285,35.3188805160413,0.27,0.035
tree_bd_16,NA,0.114754098360656,0.01,67,1245.49279410079,32.2159765246735,0.27,0.035
tree_bd_17,NA,0.114754098360656,0.01,114,2235.40462910691,36.4666528813576,0.27,0.035
tree_bd_18,NA,0.114754098360656,0.01,43,821.836076573825,36.0405166041205,0.27,0.035
tree_bd_19,NA,0.114754098360656,0.01,75,1435.92805645132,39.8819057780516,0.27,0.035
tree_bd_20,NA,0.114754098360656,0.01,78,1524.44662135178,33.7811021357795,0.27,0.035
