tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_bd_4,NA,0.111111111111111,0.1,180,2459.85844579005,39.785128444463,0.2,0.025
tree_bd_5,NA,0.111111111111111,0.1,25,408.352095976986,32.9136856015091,0.2,0.025
tree_bd_6,NA,0.111111111111111,0.1,60,835.288391235114,33.764035433936,0.2,0.025
tree_bd_7,NA,0.111111111111111,0.1,151,2366.78718587925,39.9335270830327,0.2,0.025
tree_bd_8,NA,0.111111111111111,0.1,109,1473.15095264756,32.2623770535033,0.2,0.025
tree_bd_9,NA,0.111111111111111,0.1,31,410.839768557334,31.5399080942911,0.2,0.025
tree_bd_10,NA,0.111111111111111,0.1,79,1019.41685526495,29.2669093933673,0.2,0.025
tree_bd_11,NA,0.111111111111111,0.1,55,783.050306635509,32.4692016274574,0.2,0.025
tree_bd_12,NA,0.111111111111111,0.1,162,2127.22581370452,33.9661293975392,0.2,0.025
tree_bd_13,NA,0.111111111111111,0.1,129,1724.7093631045,39.7419720848913,0.2,0.025
tree_bd_14,NA,0.111111111111111,0.1,28,380.842870443543,24.3244938694325,0.2,0.025
tree_bd_15,NA,0.111111111111111,0.1,127,1726.98674476839,35.703564751465,0.2,0.025
tree_bd_16,NA,0.111111111111111,0.1,52,812.791224215183,34.1932935251381,0.2,0.025
tree_bd_17,NA,0.111111111111111,0.1,28,403.903826599497,39.5587480275167,0.2,0.025
tree_bd_18,NA,0.111111111111111,0.1,107,1536.92355081951,34.2543548554393,0.2,0.025
tree_bd_19,NA,0.111111111111111,0.1,152,2162.6968264882,36.5820437397375,0.2,0.025
tree_bd_20,NA,0.111111111111111,0.1,113,1589.07862220045,38.3681598491967,0.2,0.025
